[cache] data_root = /root/data/FaceForensics++
[cache] variant = heuristic
[cache] image_size = 256
[cache] device = cpu
  [44025/50000] 18.87 img/s ETA 317s
  [44050/50000] 18.87 img/s ETA 315s
  [44075/50000] 18.88 img/s ETA 314s
  [44100/50000] 18.87 img/s ETA 313s
  [44125/50000] 18.87 img/s ETA 311s
  [44150/50000] 18.88 img/s ETA 310s
  [44175/50000] 18.87 img/s ETA 309s
  [44200/50000] 18.87 img/s ETA 307s
  [44225/50000] 18.87 img/s ETA 306s
  [44250/50000] 18.87 img/s ETA 305s
  [44275/50000] 18.88 img/s ETA 303s
  [44300/50000] 18.87 img/s ETA 302s
  [44325/50000] 18.87 img/s ETA 301s
  [44350/50000] 18.87 img/s ETA 299s
  [44375/50000] 18.87 img/s ETA 298s
  [44400/50000] 18.87 img/s ETA 297s
  [44425/50000] 18.88 img/s ETA 295s
  [44450/50000] 18.88 img/s ETA 294s
  [44475/50000] 18.88 img/s ETA 293s
  [44500/50000] 18.88 img/s ETA 291s
  [44525/50000] 18.89 img/s ETA 290s
  [44550/50000] 18.88 img/s ETA 289s
  [44575/50000] 18.88 img/s ETA 287s
  [44600/50000] 18.88 img/s ETA 286s
  [44625/50000] 18.88 img/s ETA 285s
  [44650/50000] 18.88 img/s ETA 283s
  [44675/50000] 18.89 img/s ETA 282s
  [44700/50000] 18.88 img/s ETA 281s
  [44725/50000] 18.88 img/s ETA 279s
  [44750/50000] 18.88 img/s ETA 278s
  [44775/50000] 18.88 img/s ETA 277s
  [44800/50000] 18.88 img/s ETA 275s
  [44825/50000] 18.88 img/s ETA 274s
  [44850/50000] 18.88 img/s ETA 273s
  [44875/50000] 18.87 img/s ETA 272s
  [44900/50000] 18.87 img/s ETA 270s
  [44925/50000] 18.87 img/s ETA 269s
  [44950/50000] 18.88 img/s ETA 268s
  [44975/50000] 18.87 img/s ETA 266s
  [45000/50000] 18.87 img/s ETA 265s
  [45025/50000] 18.87 img/s ETA 264s
  [45050/50000] 18.87 img/s ETA 262s
  [45075/50000] 18.87 img/s ETA 261s
  [45100/50000] 18.87 img/s ETA 260s
  [45125/50000] 18.87 img/s ETA 258s
  [45150/50000] 18.87 img/s ETA 257s
  [45175/50000] 18.87 img/s ETA 256s
  [45200/50000] 18.88 img/s ETA 254s
  [45225/50000] 18.87 img/s ETA 253s
  [45250/50000] 18.88 img/s ETA 252s
  [45275/50000] 18.88 img/s ETA 250s
  [45300/50000] 18.88 img/s ETA 249s
  [45325/50000] 18.87 img/s ETA 248s
  [45350/50000] 18.87 img/s ETA 246s
  [45375/50000] 18.87 img/s ETA 245s
  [45400/50000] 18.87 img/s ETA 244s
  [45425/50000] 18.87 img/s ETA 242s
  [45450/50000] 18.87 img/s ETA 241s
  [45475/50000] 18.87 img/s ETA 240s
  [45500/50000] 18.87 img/s ETA 238s
  [45525/50000] 18.87 img/s ETA 237s
  [45550/50000] 18.87 img/s ETA 236s
  [45575/50000] 18.87 img/s ETA 234s
  [45600/50000] 18.87 img/s ETA 233s
  [45625/50000] 18.87 img/s ETA 232s
  [45650/50000] 18.87 img/s ETA 231s
  [45675/50000] 18.87 img/s ETA 229s
  [45700/50000] 18.86 img/s ETA 228s
  [45725/50000] 18.86 img/s ETA 227s
  [45750/50000] 18.86 img/s ETA 225s
  [45775/50000] 18.86 img/s ETA 224s
  [45800/50000] 18.86 img/s ETA 223s
  [45825/50000] 18.86 img/s ETA 221s
  [45850/50000] 18.86 img/s ETA 220s
  [45875/50000] 18.86 img/s ETA 219s
  [45900/50000] 18.85 img/s ETA 217s
  [45925/50000] 18.85 img/s ETA 216s
  [45950/50000] 18.85 img/s ETA 215s
  [45975/50000] 18.85 img/s ETA 214s
  [46000/50000] 18.85 img/s ETA 212s
  [46025/50000] 18.85 img/s ETA 211s
  [46050/50000] 18.85 img/s ETA 210s
  [46075/50000] 18.85 img/s ETA 208s
  [46100/50000] 18.85 img/s ETA 207s
  [46125/50000] 18.85 img/s ETA 206s
  [46150/50000] 18.85 img/s ETA 204s
  [46175/50000] 18.85 img/s ETA 203s
  [46200/50000] 18.85 img/s ETA 202s
  [46225/50000] 18.85 img/s ETA 200s
  [46250/50000] 18.85 img/s ETA 199s
  [46275/50000] 18.85 img/s ETA 198s
  [46300/50000] 18.84 img/s ETA 196s
  [46325/50000] 18.84 img/s ETA 195s
  [46350/50000] 18.84 img/s ETA 194s
  [46375/50000] 18.84 img/s ETA 192s
  [46400/50000] 18.84 img/s ETA 191s
  [46425/50000] 18.85 img/s ETA 190s
  [46450/50000] 18.84 img/s ETA 188s
  [46475/50000] 18.84 img/s ETA 187s
  [46500/50000] 18.84 img/s ETA 186s
  [46525/50000] 18.84 img/s ETA 184s
  [46550/50000] 18.84 img/s ETA 183s
  [46575/50000] 18.84 img/s ETA 182s
  [46600/50000] 18.84 img/s ETA 180s
  [46625/50000] 18.84 img/s ETA 179s
  [46650/50000] 18.83 img/s ETA 178s
  [46675/50000] 18.83 img/s ETA 177s
  [46700/50000] 18.83 img/s ETA 175s
  [46725/50000] 18.83 img/s ETA 174s
  [46750/50000] 18.83 img/s ETA 173s
  [46775/50000] 18.83 img/s ETA 171s
  [46800/50000] 18.83 img/s ETA 170s
  [46825/50000] 18.83 img/s ETA 169s
  [46850/50000] 18.83 img/s ETA 167s
  [46875/50000] 18.83 img/s ETA 166s
  [46900/50000] 18.83 img/s ETA 165s
  [46925/50000] 18.83 img/s ETA 163s
  [46950/50000] 18.83 img/s ETA 162s
  [46975/50000] 18.83 img/s ETA 161s
  [47000/50000] 18.83 img/s ETA 159s
  [47025/50000] 18.83 img/s ETA 158s
  [47050/50000] 18.83 img/s ETA 157s
  [47075/50000] 18.83 img/s ETA 155s
  [47100/50000] 18.82 img/s ETA 154s
  [47125/50000] 18.82 img/s ETA 153s
  [47150/50000] 18.82 img/s ETA 151s
  [47175/50000] 18.82 img/s ETA 150s
  [47200/50000] 18.83 img/s ETA 149s
  [47225/50000] 18.82 img/s ETA 147s
  [47250/50000] 18.82 img/s ETA 146s
  [47275/50000] 18.82 img/s ETA 145s
  [47300/50000] 18.83 img/s ETA 143s
  [47325/50000] 18.83 img/s ETA 142s
  [47350/50000] 18.82 img/s ETA 141s
  [47375/50000] 18.82 img/s ETA 139s
  [47400/50000] 18.82 img/s ETA 138s
  [47425/50000] 18.82 img/s ETA 137s
  [47450/50000] 18.82 img/s ETA 136s
  [47475/50000] 18.81 img/s ETA 134s
  [47500/50000] 18.81 img/s ETA 133s
  [47525/50000] 18.80 img/s ETA 132s
  [47550/50000] 18.80 img/s ETA 130s
  [47575/50000] 18.80 img/s ETA 129s
  [47600/50000] 18.80 img/s ETA 128s
  [47625/50000] 18.80 img/s ETA 126s
  [47650/50000] 18.80 img/s ETA 125s
  [47675/50000] 18.80 img/s ETA 124s
  [47700/50000] 18.80 img/s ETA 122s
  [47725/50000] 18.80 img/s ETA 121s
  [47750/50000] 18.80 img/s ETA 120s
  [47775/50000] 18.80 img/s ETA 118s
  [47800/50000] 18.80 img/s ETA 117s
  [47825/50000] 18.80 img/s ETA 116s
  [47850/50000] 18.80 img/s ETA 114s
  [47875/50000] 18.80 img/s ETA 113s
  [47900/50000] 18.80 img/s ETA 112s
  [47925/50000] 18.80 img/s ETA 110s
  [47950/50000] 18.81 img/s ETA 109s
  [47975/50000] 18.81 img/s ETA 108s
  [48000/50000] 18.80 img/s ETA 106s
  [48025/50000] 18.81 img/s ETA 105s
  [48050/50000] 18.81 img/s ETA 104s
  [48075/50000] 18.81 img/s ETA 102s
  [48100/50000] 18.81 img/s ETA 101s
  [48125/50000] 18.81 img/s ETA 100s
  [48150/50000] 18.81 img/s ETA 98s
  [48175/50000] 18.81 img/s ETA 97s
  [48200/50000] 18.81 img/s ETA 96s
  [48225/50000] 18.81 img/s ETA 94s
  [48250/50000] 18.81 img/s ETA 93s
  [48275/50000] 18.80 img/s ETA 92s
  [48300/50000] 18.81 img/s ETA 90s
  [48325/50000] 18.80 img/s ETA 89s
  [48350/50000] 18.80 img/s ETA 88s
  [48375/50000] 18.80 img/s ETA 86s
  [48400/50000] 18.80 img/s ETA 85s
  [48425/50000] 18.80 img/s ETA 84s
  [48450/50000] 18.80 img/s ETA 82s
  [48475/50000] 18.80 img/s ETA 81s
  [48500/50000] 18.80 img/s ETA 80s
  [48525/50000] 18.80 img/s ETA 78s
  [48550/50000] 18.80 img/s ETA 77s
  [48575/50000] 18.80 img/s ETA 76s
  [48600/50000] 18.79 img/s ETA 75s
  [48625/50000] 18.78 img/s ETA 73s
  [48650/50000] 18.78 img/s ETA 72s
  [48675/50000] 18.78 img/s ETA 71s
  [48700/50000] 18.78 img/s ETA 69s
  [48725/50000] 18.78 img/s ETA 68s
  [48750/50000] 18.78 img/s ETA 67s
  [48775/50000] 18.78 img/s ETA 65s
  [48800/50000] 18.78 img/s ETA 64s
  [48825/50000] 18.79 img/s ETA 63s
  [48850/50000] 18.79 img/s ETA 61s
  [48875/50000] 18.79 img/s ETA 60s
  [48900/50000] 18.79 img/s ETA 59s
  [48925/50000] 18.79 img/s ETA 57s
  [48950/50000] 18.79 img/s ETA 56s
  [48975/50000] 18.79 img/s ETA 55s
  [49000/50000] 18.79 img/s ETA 53s
  [49025/50000] 18.79 img/s ETA 52s
  [49050/50000] 18.79 img/s ETA 51s
  [49075/50000] 18.79 img/s ETA 49s
  [49100/50000] 18.79 img/s ETA 48s
  [49125/50000] 18.79 img/s ETA 47s
  [49150/50000] 18.79 img/s ETA 45s
  [49175/50000] 18.79 img/s ETA 44s
  [49200/50000] 18.80 img/s ETA 43s
  [49225/50000] 18.80 img/s ETA 41s
  [49250/50000] 18.80 img/s ETA 40s
  [49275/50000] 18.80 img/s ETA 39s
  [49300/50000] 18.79 img/s ETA 37s
  [49325/50000] 18.79 img/s ETA 36s
  [49350/50000] 18.79 img/s ETA 35s
  [49375/50000] 18.80 img/s ETA 33s
  [49400/50000] 18.80 img/s ETA 32s
  [49425/50000] 18.80 img/s ETA 31s
  [49450/50000] 18.79 img/s ETA 29s
  [49475/50000] 18.79 img/s ETA 28s
  [49500/50000] 18.79 img/s ETA 27s
  [49525/50000] 18.78 img/s ETA 25s
  [49550/50000] 18.78 img/s ETA 24s
  [49575/50000] 18.77 img/s ETA 23s
  [49600/50000] 18.77 img/s ETA 21s
  [49625/50000] 18.77 img/s ETA 20s
  [49650/50000] 18.77 img/s ETA 19s
  [49675/50000] 18.77 img/s ETA 17s
  [49700/50000] 18.78 img/s ETA 16s
  [49725/50000] 18.78 img/s ETA 15s
  [49750/50000] 18.78 img/s ETA 13s
  [49775/50000] 18.78 img/s ETA 12s
  [49800/50000] 18.78 img/s ETA 11s
  [49825/50000] 18.78 img/s ETA 9s
  [49850/50000] 18.78 img/s ETA 8s
  [49875/50000] 18.78 img/s ETA 7s
  [49900/50000] 18.79 img/s ETA 5s
  [49925/50000] 18.78 img/s ETA 4s
  [49950/50000] 18.79 img/s ETA 3s
  [49975/50000] 18.79 img/s ETA 1s
  [50000/50000] 18.79 img/s ETA 0s

=== cache summary ===
  processed: 50000
  failed: 0
  skipped (already cached): 0
  total in dataset: 50000
  elapsed: 2663s
  rate: 18.77 img/s
